store_name,location,prague,floor_area,avg_weekly_opening_hours,sunday_opening_hours,price_category,lottery_pos,pudo_pos,number_of_employees,number_of_vehicles,education,real_estate_price_sqm,construction_permits,number_of_internet_subscirbers,number_of_job_seekers,pit_capita,number_of_births,population,x0_50m_avg,x50_100m_avg,x100_plusm_avg,newspaper_shelves,non_newspaper_shelves
95,Main street,0,42,65.5,0,7,1,1,2,5457,1981,15819.462063797906,34,3955,277,72.51050616211346,118,6444,168277.44259259256,497228.34814814816,1150007.187037037,13.108333337000001,0.73611111090000003
96,Market,0,22.8,48,5,8,1,1,2,59480,32592,22562.807842481034,849,56061,2198,111.68364330712609,1612,76675,0,2872675.6351851849,754610.35370370373,10.450000000000001,3.3000000000000003
97,Main street,0,10.799999999999999,67,0,8,0,0,2,30124,12812,27690.548441193896,257,27554,387,74.46245724091689,651,35809,0,0,968166.80796296289,6.4166666663000003,0.45833333370000001
98,Mall,0,50.4,74,8,9,1,0,4,28948,10300,16289.534923979219,64,29101,2109,93.80650708749036,876,39866,0,0,1456894.2903703703,13.108333337000001,3.3402777782000004
99,Mall,0,39.6,74,8,9,1,0,3,59480,32592,19788.497846215785,849,56061,2198,111.68364330712609,1612,76675,1554478.5531481481,0,598814.04629629629,11.045833337000001,1.5666666664000002
100,Albert,0,25.2,68,8,8,0,1,3,13608,5240,17303.746296296296,56,10231,918,86.63287085815101,361,17845,2261689.1333333333,0,0,12.65,2.2000000000000002
101,Albert,0,44.304,64,8,8,0,1,3,7012,2625,11227.930756843802,5,5361,471,77.27278645394894,174,9006,2244319.2481481479,518865.47685185185,1214726.9527777778,12.100000000000001,6.6000000000000005
102,Albert,0,34.92,61,6.9999999999999991,8,0,1,0,30124,12812,27690.548441193896,257,27554,387,74.46245724091689,651,35809,8070438.6777777774,0,744324.17129629618,12.100000000000001,2.2000000000000002
103,Albert,0,28.631999999999998,74,8,8,1,1,2,7669,1940,12719.455081990391,0,7073,602,97.56721995449163,261,10335,1249338.0549999999,0,829862.95370370371,8.8000000000000007,4.4000000000000004
104,Market,0,21.599999999999998,61.5,6.5000000000000009,8,0,0,0,63760,47516,12537.644212962967,385,75780,5537,87.81789622894932,1695,104913,0,1761157.1412962959,1173148.9853703703,11,0
#MISSING,Mall,0,55.199999999999996,74,#MISSING,8,1,1,3,59480,32592,23259.968988391374,849,56061,2198,111.68364330712609,1612,76675,#MISSING,#MISSING,#MISSING,#MISSING,#MISSING
105,Kaufland,0,57.995999999999995,83,11,8,0,1,3,83845,57181,24539.266477702196,667,87412,11437,91.92542842104444,2564,124543,3131733.1685185181,0,548265.77777777775,19.8,4.95
106,Main street,0,59.04,56,#MISSING,7,0,1,2,3549,1581,9408.9094135802479,4,2491,429,82.460923803724,86,4254,#MISSING,#MISSING,#MISSING,#MISSING,#MISSING
107,Mall,0,30.287999999999997,87.00000000000001,#MISSING,9,1,1,3,83845,57181,18217.198671497579,667,87412,11437,91.92542842104444,2564,124543,3705017.5462962962,0,0,15.950000000000001,1.6930555554
108,Main street,0,48,55,0,7,0,1,2,5771,2445,11939.180484330484,22,4749,1067,74.7892688808506,176,8410,0,0,505496.1883333333,17.605555561000003,2.9999999997
109,Main street,0,22.8,100,0,9,1,1,3,9143,3992,22504.271963423063,36,8074,1258,81.394678354393,241,14931,0,1370873.2157407408,534064.79537037038,11.005555561000001,2.3291666661999999
110,Main street,0,40.32,84,5,8,1,1,3,83845,57181,22060.422187281627,667,87412,11437,91.92542842104444,2564,124543,643416.69537037029,0,293285.69592592592,13.841666663000002,1.3277777777000002
111,Main street,0,48,55,0,7,0,1,2,4807,1996,9787.9138425925903,38,3303,1035,74.36724103940278,173,6149,0,0,862898.96462962963,14.3,1.9500000003000002
112,Albert,0,35.808,90.00000000000001,11.999999999999998,8,0,1,3,83845,57181,24539.266477702196,667,87412,11437,91.92542842104444,2564,124543,0,0,5069837.5,15.400000000000002,1.6500000000000001
113,Albert,0,47.508,76,10,8,0,1,3,51488,30767,18371.974994847984,120,46808,5177,88.46887787330404,1479,67284,775026.61351851851,0,2654537.9759259257,16.5,5.5
114,Albert,0,37.44,76,10,8,1,1,3,7482,3647,9093.1946666666663,5,5476,668,86.66570054807214,234,9248,2201991.6574074072,0,0,15.400000000000002,4.4000000000000004
115,Mall,0,31.176,78,#MISSING,9,1,1,3,51488,30767,18371.974994847984,120,46808,5177,88.46887787330404,1479,67284,2202504.8129629628,0,417129.05851851852,13.200000000000001,1.8916666670000002
116,Mall,0,52.8,76,10,9,1,1,3,83845,57181,27279.914866255138,667,87412,11437,91.92542842104444,2564,124543,906385.95499999984,0,1471304.830185185,18.150000000000002,3.4277777776000002
117,Main street,0,19.2,56,#MISSING,7,1,1,2,3051,595,7993.2632962962971,3,2187,1983,41.89645627991043,261,5481,0,0,0,10.816666666300002,1.3083333329
118,Main street,0,26.4,71,3.9999999999999991,7,1,1,3,53112,25529,20851.446142078174,270,43213,4485,94.7815168625651,1498,65438,0,0,2565221.6777777779,11.641666663000001,0.36666666630000005
119,Main street,0,75.6,76,5,8,0,1,2,12614,6471,15751.915578297599,42,10581,857,81.4370920727457,287,18649,0,0,1645124.2342592592,18.333333337000003,5.1750000004999999
120,Market,0,20.88,73,6,8,0,1,2,11330,4520,15049.609221848108,10,8675,1005,78.55460847204695,291,18286,0,0,1340588.1459259258,13.200000000000001,3.3000000000000003
121,Main street,0,27.599999999999998,61,0,7,0,1,2,6367,3091,23434.530176767672,4,5153,407,77.29460191446309,156,10054,0,0,758436.01351851854,16.316666663000003,3.0444444447999999
122,Kaufland,0,27.599999999999998,83,11,8,0,1,3,28477,18564,13948.875769542319,208,28192,3751,99.32953588683426,801,45089,0,3279371.8074074076,628369.36111111101,11.55,1.6500000000000001
123,Main street,0,8.4,62.5,2.4999999999999991,7,1,1,2,1489,293,5645.703497942387,0,1165,582,44.75865601899728,112,2991,0,0,0,10.6333333337,0.3208333337
124,Main street,0,34.8,67,0,8,0,1,2,28477,18564,13948.875769542319,208,28192,3751,99.32953588683426,801,45089,0,0,1296724.9727777778,13.429166663000002,0.62499999980000009
125,Main street,0,25.308,63.5,0,7,1,1,3,2727,983,7087.3830370370351,0,2491,618,71.39013073658697,68,5184,442847.39814814815,255697.63703703703,1252610.4157407407,10.450000000000001,0.7916666670000001
126,Main street,0,12,73,4,7,0,1,2,6344,2517,9253.7850308641955,5,5496,1836,66.67057294450501,283,10655,0,0,605437.32111111109,14.116666663000002,1.9500000003000002
127,Albert,0,21.755999999999997,83,11,8,0,1,3,28477,18564,13948.875769542319,208,28192,3751,99.32953588683426,801,45089,1596730.936111111,0,1065351.0833333333,12.65,1.6500000000000001
128,Main street,0,19.2,66,0,7,0,1,2,2779,878,6735.0314652371671,0,2170,655,66.60586791610888,108,4754,0,0,495901.78851851844,14.3,1.3222222222
